ppi,pDockQ,PPV,prot1,prot2,ipTM,iptm_ptm,pTM,pLDDT,pAE,ranking_confidence,LIS,LIA,inter_pae,inter_pae_select,iplddt_mean,iplddt_chain_a,iplddt_chain_b,ipae_mean,ipae_chain_b,ipae_chain_a,pdockq2_mean,non_struct_label,str_label,nonstr_label_name,str_label_name,is_homo
P62906:Q9Y639,0.21473306041473958,0.759,P62906,Q9Y639,0.57,0.562,0.53,79.12,18.347,0.63,0.133,13159,22.365,10.399,88.481,89.891,87.071,0.63,0.629,0.63,0.14,0,-1,non-interacting pairs,not found in same PDB complex,False
P62906:Q9H0R5,0.13584641209876447,0.706,P62906,Q9H0R5,0.17,0.232,0.48,73.31,22.578,0.28,0.0,0,30.408,12.0,74.238,72.83,75.645,0.139,0.133,0.145,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62979:Q9UK32,0.11538221979985443,0.686,P62979,Q9UK32,0.22,0.262,0.43,64.66,23.558,0.34,0.0,0,29.101,12.0,62.989,67.382,58.595,0.17,0.17,0.169,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62891:Q96T75,0.03917708476432485,0.636,P62891,Q96T75,0.04,0.084,0.26,62.7,24.71,0.55,0.0,0,30.121,12.0,71.115,88.197,54.033,0.127,0.133,0.12,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62993:Q8WVK7,0.08535912340152639,0.667,P62993,Q8WVK7,0.11,0.158,0.35,67.38,22.091,0.23,0.0,0,28.883,12.0,72.034,78.524,65.543,0.155,0.163,0.148,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62993:Q9H115,0.10929512792015783,0.686,P62993,Q9H115,0.13,0.212,0.54,79.21,20.011,0.22,0.0,0,29.571,12.0,77.592,80.773,74.411,0.155,0.151,0.159,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P62987:Q6ISU1,0.2163495511482126,0.759,P62987,Q6ISU1,0.21,0.236,0.34,58.23,24.996,0.44,0.03,22,27.201,11.635,66.744,59.206,74.283,0.264,0.254,0.274,0.014,0,-1,non-interacting pairs,not found in same PDB complex,False
P62945:Q9NX70,0.053564390554643904,0.636,P62945,Q9NX70,0.38,0.388,0.42,66.95,21.92,0.65,0.084,487,24.349,10.998,74.18,67.701,80.659,0.36,0.375,0.346,0.023,0,-1,non-interacting pairs,not found in same PDB complex,False
P62979:Q9Y2Z9,0.07859887248947271,0.667,P62979,Q9Y2Z9,0.18,0.266,0.61,70.33,19.248,0.33,0.0,0,28.268,12.0,62.392,54.623,70.162,0.195,0.183,0.207,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P62979:Q9H4B0,0.10446855601848842,0.686,P62979,Q9H4B0,0.23,0.316,0.66,76.05,16.861,0.39,0.0,0,27.079,12.0,75.545,65.22,85.871,0.178,0.16,0.196,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P62913:Q96MA1,0.10242171645056554,0.686,P62913,Q96MA1,0.09,0.142,0.35,56.68,27.373,0.17,0.0,0,31.13,12.0,85.581,89.868,81.294,0.116,0.117,0.115,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62913:Q6NT89,0.080285546671267,0.667,P62913,Q6NT89,0.07,0.138,0.41,67.35,25.212,0.42,0.0,0,30.95,12.0,89.755,86.921,92.589,0.11,0.104,0.117,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62913:Q92624,0.3149492833756543,0.822,P62913,Q92624,0.58,0.624,0.8,83.03,11.184,0.63,0.124,24882,19.458,10.511,66.424,51.683,81.165,0.454,0.506,0.401,0.035,0,-1,non-interacting pairs,not found in same PDB complex,False
P62910:P63279,0.07967040520070358,0.667,P62910,P63279,0.1,0.182,0.51,88.12,16.472,0.21,0.0,0,28.166,12.0,92.581,94.189,90.973,0.122,0.123,0.121,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62993:Q5TKA1,0.28531005258868986,0.802,P62993,Q5TKA1,0.16,0.196,0.34,69.39,25.431,0.31,0.0,0,30.463,12.0,70.423,83.563,57.282,0.124,0.127,0.121,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P23396:P52735,0.22051372320047138,0.778,P23396,P52735,0.19,0.254,0.51,72.11,23.142,0.29,0.0,0,29.574,12.0,59.327,69.696,48.957,0.128,0.127,0.128,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P48431:Q9NZL9,0.34541732744959897,0.843,P48431,Q9NZL9,0.34,0.378,0.53,64.95,22.985,0.59,0.217,972,29.026,9.397,61.21,43.19,79.23,0.284,0.287,0.281,0.014,0,-1,non-interacting pairs,not found in same PDB complex,False
P48552:Q8WXH4,0.13938586217381504,0.714,P48552,Q8WXH4,0.18,0.206,0.31,39.68,29.403,0.21,0.0,0,30.611,12.0,54.84,39.662,70.019,0.142,0.141,0.143,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P48551:Q5T9S5,0.4139321313340812,0.871,P48551,Q5T9S5,0.17,0.184,0.24,71.98,30.337,0.46,0.0,0,31.606,12.0,82.561,71.635,93.487,0.096,0.097,0.095,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P22001:Q9NX24,0.06017556789292726,0.636,P22001,Q9NX24,0.13,0.192,0.44,65.0,24.29,0.35,0.0,0,30.41,12.0,76.834,78.264,75.404,0.123,0.131,0.116,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P21728:Q8TDQ7,0.07539959344713922,0.667,P21728,Q8TDQ7,0.13,0.194,0.45,71.44,21.999,0.3,0.0,0,29.909,12.0,80.993,82.942,79.045,0.129,0.133,0.124,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P22415:Q0VGL1,0.16436283202885624,0.73,P22415,Q0VGL1,0.17,0.192,0.28,62.31,26.894,0.49,0.0,0,29.416,12.0,79.745,84.263,75.226,0.185,0.178,0.192,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
P22736:Q9P086,0.1073999665102931,0.686,P22736,Q9P086,0.16,0.21,0.41,64.9,25.98,0.43,0.0,0,29.774,12.0,69.153,83.637,54.669,0.16,0.161,0.159,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P22674:P62304,0.4103789451079312,0.871,P22674,P62304,0.54,0.566,0.67,72.96,16.248,0.69,0.195,8602,19.26,9.661,81.593,83.606,79.58,0.6,0.606,0.594,0.09,0,-1,non-interacting pairs,not found in same PDB complex,False
P21757:P39019,0.0737488867496511,0.667,P21757,P39019,0.13,0.156,0.26,59.89,26.96,0.32,0.0,0,30.62,12.0,72.521,81.118,63.924,0.119,0.119,0.119,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P22681:P78333,0.20790177895599604,0.759,P22681,P78333,0.34,0.356,0.42,58.58,26.721,0.57,0.0,0,29.153,12.0,76.9,65.659,88.141,0.186,0.176,0.196,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
P22459:Q8WUW1,0.0626950988481849,0.636,P22459,Q8WUW1,0.17,0.218,0.41,63.63,25.242,0.42,0.0,0,30.293,12.0,66.047,48.124,83.971,0.15,0.151,0.149,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P22681:Q9C0F1,0.37468467321915,0.855,P22681,Q9C0F1,0.38,0.376,0.36,59.34,28.21,0.66,0.272,10367,30.204,8.73,74.621,76.603,72.639,0.416,0.461,0.371,0.029,0,-1,non-interacting pairs,not found in same PDB complex,False
P22087:Q15762,0.06960914800629445,0.636,P22087,Q15762,0.11,0.168,0.4,71.19,23.7,0.31,0.0,0,30.439,12.0,75.308,86.665,63.951,0.114,0.121,0.107,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P22415:Q96F46,0.0491168110311187,0.636,P22415,Q96F46,0.16,0.192,0.32,61.03,28.157,0.43,0.0,0,30.92,12.0,73.163,72.205,74.121,0.131,0.142,0.12,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P22681:P32245,0.2731880518290076,0.802,P22681,P32245,0.38,0.376,0.36,58.12,27.272,0.6,0.162,1996,30.285,10.05,66.739,67.731,65.747,0.246,0.272,0.22,0.013,0,-1,non-interacting pairs,not found in same PDB complex,False
P22681:Q9BW91,0.4978417194083864,0.9,P22681,Q9BW91,0.36,0.356,0.34,61.02,27.64,0.57,0.091,879,30.724,10.904,67.611,55.032,80.191,0.223,0.22,0.225,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
P22681:Q6ZVT0,0.221695389479259,0.778,P22681,Q6ZVT0,0.23,0.256,0.36,55.49,28.075,0.49,0.0,0,30.793,12.0,56.926,43.63,70.223,0.149,0.144,0.155,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P22004:Q8NB91,0.16987645283528316,0.73,P22004,Q8NB91,0.3,0.314,0.37,61.39,26.13,0.42,0.055,43,28.977,11.345,68.945,67.434,70.456,0.294,0.311,0.278,0.016,0,-1,non-interacting pairs,not found in same PDB complex,False
P22307:Q00597,0.12012381990395683,0.686,P22307,Q00597,0.14,0.196,0.42,75.23,23.362,0.2,0.0,0,30.536,12.0,59.415,70.243,48.588,0.116,0.114,0.118,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P22314:P28066,0.312761226890945,0.812,P22314,P28066,0.24,0.342,0.75,84.26,15.377,0.36,0.0,0,28.375,12.0,62.469,82.535,42.402,0.155,0.158,0.152,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P21728:Q9UH77,0.17510636510282837,0.73,P21728,Q9UH77,0.18,0.224,0.4,72.15,23.395,0.31,0.0,0,29.643,12.0,64.675,48.227,81.122,0.195,0.202,0.187,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P22455:Q0VGL1,0.3460565599258301,0.843,P22455,Q0VGL1,0.24,0.278,0.43,66.22,25.334,0.41,0.0,0,29.406,12.0,69.253,82.436,56.07,0.127,0.126,0.127,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P22607:Q5VYX0,0.3468015609207679,0.843,P22607,Q5VYX0,0.26,0.284,0.38,71.58,25.505,0.36,0.0,0,30.402,12.0,61.177,43.134,79.22,0.151,0.148,0.153,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P48729:Q9BWG4,0.3390021283773651,0.834,P48729,Q9BWG4,0.37,0.394,0.49,59.27,24.539,0.64,0.039,216,28.947,11.534,70.816,87.482,54.15,0.212,0.232,0.192,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
P48431:Q16534,0.16253623317766014,0.73,P48431,Q16534,0.12,0.146,0.25,58.64,29.038,0.53,0.0,0,31.209,12.0,88.441,92.858,84.023,0.11,0.115,0.106,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P49005:P55089,0.12794006347548875,0.706,P49005,P55089,0.33,0.406,0.71,71.88,16.4,0.52,0.009,32,26.371,11.891,69.712,73.972,65.452,0.276,0.271,0.282,0.015,0,-1,non-interacting pairs,not found in same PDB complex,False
P49005:Q629K1,0.0871539570941976,0.667,P49005,Q629K1,0.23,0.328,0.72,77.15,15.618,0.45,0.044,380,27.351,11.477,61.643,79.105,44.181,0.252,0.25,0.255,0.013,0,-1,non-interacting pairs,not found in same PDB complex,False
P49146:P62070,0.11753518248868115,0.686,P49146,P62070,0.37,0.416,0.6,70.88,17.958,0.51,0.016,362,22.652,11.813,61.509,65.498,57.52,0.306,0.288,0.325,0.015,0,-1,non-interacting pairs,not found in same PDB complex,False
P48551:Q9BQ48,0.05270685080024101,0.636,P48551,Q9BQ48,0.2,0.236,0.38,56.01,26.689,0.53,0.0,0,29.499,12.0,79.909,78.519,81.298,0.263,0.244,0.283,0.016,0,-1,non-interacting pairs,not found in same PDB complex,False
P48436:Q13951,0.17833136650615117,0.74,P48436,Q13951,0.39,0.374,0.31,56.01,27.813,0.7,0.208,3268,29.13,9.498,85.695,85.695,85.695,0.593,0.557,0.628,0.103,0,-1,non-interacting pairs,not found in same PDB complex,False
P48730:Q9BZL1,0.30880473144408876,0.812,P48730,Q9BZL1,0.1,0.198,0.59,73.59,19.919,0.31,0.0,0,29.62,12.0,75.502,78.551,72.453,0.112,0.114,0.111,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P48730:Q96JB5,0.26754473844283183,0.802,P48730,Q96JB5,0.19,0.23,0.39,71.51,23.724,0.33,0.0,0,29.929,12.0,78.085,87.567,68.603,0.132,0.142,0.121,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P48448:Q2MKA7,0.019942654711669283,0.559,P48448,Q2MKA7,0.13,0.218,0.57,76.54,20.74,0.32,0.0,0,29.96,12.0,81.46,88.943,73.977,0.158,0.163,0.153,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P48729:Q9UMS5,0.12230228508432997,0.706,P48729,Q9UMS5,0.2,0.25,0.45,62.67,24.799,0.4,0.0,0,29.804,12.0,67.864,89.946,45.782,0.133,0.136,0.129,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P48551:Q96EN8,0.32291776579668524,0.822,P48551,Q96EN8,0.2,0.258,0.49,63.54,24.914,0.41,0.0,0,30.298,12.0,60.692,43.366,78.018,0.159,0.144,0.175,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P48552:Q04323,0.13415046656553953,0.706,P48552,Q04323,0.15,0.156,0.18,41.56,30.351,0.16,0.0,0,31.339,12.0,50.92,36.704,65.135,0.099,0.098,0.1,0.008,0,-1,non-interacting pairs,not found in same PDB complex,False
P48551:Q8WWB7,0.07611663655618191,0.667,P48551,Q8WWB7,0.19,0.238,0.43,63.94,25.176,0.43,0.0,0,30.068,12.0,72.54,64.53,80.551,0.129,0.12,0.139,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P48595:Q92558,0.047512542016719714,0.636,P48595,Q92558,0.13,0.19,0.43,65.65,25.871,0.39,0.0,0,30.774,12.0,69.461,48.745,90.177,0.136,0.128,0.145,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P48552:Q8NHZ8,0.0796482400303693,0.667,P48552,Q8NHZ8,0.3,0.274,0.17,50.81,30.74,0.74,0.013,2,31.256,11.85,77.306,65.97,88.643,0.217,0.174,0.259,0.013,0,-1,non-interacting pairs,not found in same PDB complex,False
P48552:Q8NEF9,0.0,0.0,P48552,Q8NEF9,0.14,0.154,0.21,39.54,30.556,0.16,0.0,0,31.644,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
P62851:Q96AE4,0.07397734477579235,0.667,P62851,Q96AE4,0.09,0.11,0.19,58.81,29.216,0.25,0.0,0,31.422,12.0,69.255,55.595,82.916,0.096,0.095,0.097,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P62861:Q86WR6,0.05985684136629918,0.636,P62861,Q86WR6,0.07,0.122,0.33,61.92,26.038,0.35,0.0,0,30.753,12.0,80.213,73.272,87.154,0.12,0.116,0.124,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62873:P63104,0.36485261680884806,0.843,P62873,P63104,0.12,0.202,0.53,80.94,18.195,0.23,0.0,0,29.045,12.0,68.33,61.76,74.9,0.123,0.126,0.119,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P62847:Q9BYB0,0.2843222972686739,0.802,P62847,Q9BYB0,0.35,0.354,0.37,52.78,29.094,0.35,0.0,0,29.758,12.0,61.97,73.576,50.365,0.123,0.133,0.114,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P62879:Q96M53,0.2542602497892145,0.785,P62879,Q96M53,0.25,0.304,0.52,63.02,22.983,0.47,0.081,1722,28.267,11.029,68.621,90.235,47.006,0.27,0.27,0.269,0.015,0,-1,non-interacting pairs,not found in same PDB complex,False
P62851:Q8N697,0.019947640821212632,0.559,P62851,Q8N697,0.1,0.202,0.61,65.94,19.039,0.29,0.0,0,30.703,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
P62851:Q9Y5R2,0.15024259125743472,0.714,P62851,Q9Y5R2,0.19,0.222,0.35,65.4,25.745,0.37,0.0,0,29.84,12.0,61.82,53.488,70.153,0.143,0.146,0.14,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62891:Q7RTS5,0.022956472622497007,0.559,P62891,Q7RTS5,0.1,0.208,0.64,69.07,18.253,0.32,0.0,0,30.612,12.0,50.705,73.427,27.984,0.109,0.117,0.102,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P62837:Q8IY49,0.0641581061410383,0.636,P62837,Q8IY49,0.13,0.208,0.52,75.44,18.201,0.23,0.0,0,28.55,12.0,61.483,83.929,39.036,0.173,0.186,0.16,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62841:Q9H4I3,0.018258893561979524,0.559,P62841,Q9H4I3,0.08,0.142,0.39,61.46,23.579,0.26,0.0,0,30.48,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
P62854:Q6UY09,0.027198386236220944,0.559,P62854,Q6UY09,0.1,0.156,0.38,67.68,25.41,0.34,0.0,0,31.067,12.0,82.724,78.706,86.742,0.104,0.104,0.104,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P62873:Q9NUK0,0.29185342145133414,0.802,P62873,Q9NUK0,0.45,0.46,0.5,69.37,23.124,0.6,0.149,905,29.225,10.209,70.741,93.197,48.285,0.343,0.336,0.35,0.022,0,-1,non-interacting pairs,not found in same PDB complex,False
P62847:Q13361,0.022559689523136944,0.559,P62847,Q13361,0.05,0.112,0.36,60.81,25.439,0.36,0.0,0,31.192,12.0,78.058,89.785,66.33,0.1,0.101,0.099,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P62861:Q9GZV1,0.11599345100433843,0.686,P62861,Q9GZV1,0.24,0.292,0.5,63.83,22.452,0.5,0.013,131,26.664,11.842,65.171,53.375,76.968,0.236,0.248,0.223,0.013,0,-1,non-interacting pairs,not found in same PDB complex,False
P62877:Q6L8H4,0.02094659883206197,0.559,P62877,Q6L8H4,0.08,0.108,0.22,41.69,27.894,0.27,0.0,0,31.161,12.0,55.812,77.82,33.805,0.128,0.132,0.124,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P62861:Q9NR55,0.09210896736159878,0.667,P62861,Q9NR55,0.05,0.092,0.26,74.35,25.018,0.43,0.0,0,30.906,12.0,79.654,76.742,82.567,0.103,0.103,0.104,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P62847:Q538Z0,0.0,0.0,P62847,Q538Z0,0.03,0.124,0.5,72.34,19.066,0.3,0.0,0,31.26,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
P62857:Q9BZQ6,0.1659261792516465,0.73,P62857,Q9BZQ6,0.29,0.358,0.63,71.54,19.643,0.45,0.0,0,27.125,12.0,61.216,45.742,76.691,0.171,0.18,0.162,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62879:Q7Z553,0.3080843373091209,0.812,P62879,Q7Z553,0.24,0.278,0.43,76.7,23.421,0.31,0.0,0,30.363,12.0,72.538,81.377,63.7,0.12,0.113,0.127,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P62837:Q9UKP5,0.41306599142611905,0.871,P62837,Q9UKP5,0.27,0.3,0.42,68.65,25.447,0.34,0.0,0,30.775,12.0,71.571,73.8,69.341,0.115,0.118,0.113,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P07900:Q9UJ42,0.06274621043884056,0.636,P07900,Q9UJ42,0.17,0.23,0.47,70.39,23.088,0.29,0.0,0,29.981,12.0,54.854,65.596,44.112,0.139,0.14,0.137,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P07988:P62273,0.02450840749490514,0.559,P07988,P62273,0.13,0.166,0.31,47.13,24.828,0.3,0.0,0,29.227,12.0,34.959,37.687,32.231,0.155,0.153,0.157,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P08253:Q99593,0.41500789222895246,0.871,P08253,Q99593,0.58,0.572,0.54,65.25,23.538,0.73,0.071,391,30.607,11.15,74.368,86.793,61.943,0.183,0.201,0.166,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P07814:Q96EX1,0.17403247601455948,0.73,P07814,Q96EX1,0.18,0.23,0.43,78.95,24.887,0.31,0.0,0,30.715,12.0,68.438,92.357,44.518,0.115,0.116,0.113,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P07900:Q5XKK7,0.11552854273571746,0.686,P07900,Q5XKK7,0.19,0.264,0.56,69.06,21.899,0.42,0.0,0,30.006,12.0,63.161,81.358,44.964,0.204,0.219,0.189,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P07900:P50553,0.24688656306171003,0.785,P07900,P50553,0.19,0.26,0.54,69.74,22.34,0.41,0.0,0,29.437,12.0,65.917,83.423,48.411,0.193,0.206,0.179,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P08172:Q9BXU3,0.21316940093168021,0.759,P08172,Q9BXU3,0.13,0.18,0.38,61.45,27.167,0.43,0.0,0,30.942,12.0,69.057,76.148,61.966,0.14,0.127,0.153,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P07814:Q1RMZ1,0.4732809683646878,0.886,P07814,Q1RMZ1,0.35,0.362,0.41,74.83,26.094,0.43,0.0,0,29.211,12.0,62.677,82.999,42.355,0.128,0.13,0.127,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P07814:P28482,0.5233008264459483,0.91,P07814,P28482,0.37,0.374,0.39,79.07,25.703,0.42,0.0,0,30.272,12.0,73.933,71.508,76.359,0.121,0.114,0.129,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P07900:Q9BY15,0.07803247478737649,0.667,P07900,Q9BY15,0.19,0.236,0.42,69.73,25.095,0.3,0.0,0,30.274,12.0,53.983,51.222,56.744,0.145,0.144,0.145,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P08253:Q9BXX0,0.11989350184102664,0.686,P08253,Q9BXX0,0.18,0.23,0.43,65.61,27.706,0.37,0.0,0,31.265,12.0,63.92,75.051,52.788,0.104,0.106,0.103,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P07864:Q9UNS2,0.2712773600796084,0.802,P07864,Q9UNS2,0.12,0.192,0.48,82.3,19.68,0.22,0.0,0,30.005,12.0,87.111,87.074,87.148,0.11,0.106,0.114,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P08237:P63146,0.17951815676922778,0.74,P08237,P63146,0.14,0.266,0.77,84.45,13.667,0.27,0.0,0,29.983,12.0,81.655,81.432,81.878,0.115,0.115,0.114,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P08253:Q8IVV8,0.04932364573136065,0.636,P08253,Q8IVV8,0.2,0.296,0.68,77.89,17.226,0.35,0.0,0,28.558,12.0,68.897,83.009,54.785,0.191,0.205,0.177,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P08253:P09466,0.14774965920127542,0.714,P08253,P09466,0.59,0.62,0.74,81.64,14.01,0.66,0.087,7204,21.054,10.96,77.348,78.324,76.371,0.518,0.549,0.487,0.05,0,-1,non-interacting pairs,not found in same PDB complex,False
P07900:Q8WTQ1,0.1997917708977435,0.759,P07900,Q8WTQ1,0.18,0.264,0.6,73.52,19.196,0.35,0.0,0,29.058,12.0,60.009,65.727,54.29,0.135,0.139,0.13,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P07766:Q6PII3,0.0,0.0,P07766,Q6PII3,0.08,0.106,0.21,66.92,28.978,0.41,0.0,0,31.506,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
P08138:Q9NVX0,0.14219586481190694,0.714,P08138,Q9NVX0,0.15,0.178,0.29,65.65,27.569,0.47,0.0,0,30.523,12.0,74.934,81.44,68.427,0.158,0.157,0.159,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P08311:P24588,0.32036096195127733,0.822,P08311,P24588,0.62,0.576,0.4,51.82,26.928,0.9,0.184,1854,30.443,9.797,74.793,96.648,52.939,0.44,0.528,0.351,0.029,0,-1,non-interacting pairs,not found in same PDB complex,False
P07814:Q96CM3,0.3564765919855146,0.843,P07814,Q96CM3,0.28,0.302,0.39,74.83,26.317,0.36,0.0,0,29.625,12.0,76.2,72.338,80.063,0.134,0.133,0.135,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P46663:Q9UI10,0.13219259884778342,0.706,P46663,Q9UI10,0.22,0.266,0.45,65.08,22.853,0.39,0.081,491,28.021,11.032,60.468,64.982,55.955,0.273,0.274,0.273,0.013,0,-1,non-interacting pairs,not found in same PDB complex,False
Q16552:Q6XYQ8,0.16493862223591169,0.73,Q16552,Q6XYQ8,0.26,0.268,0.3,66.23,26.547,0.49,0.0,0,30.208,12.0,82.405,85.946,78.864,0.199,0.204,0.194,0.013,0,-1,non-interacting pairs,not found in same PDB complex,False
Q16543:Q8NFH5,0.45046908185656415,0.886,Q16543,Q8NFH5,0.23,0.256,0.36,66.01,26.569,0.48,0.042,50,29.658,11.496,70.454,88.826,52.082,0.217,0.262,0.173,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
Q16540:Q9NPF7,0.0996634035915759,0.667,Q16540,Q9NPF7,0.14,0.204,0.46,62.44,21.148,0.35,0.0,0,26.836,12.0,54.651,59.708,49.594,0.174,0.17,0.177,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
Q16613:Q4KWH8,0.21244148085908315,0.759,Q16613,Q4KWH8,0.44,0.448,0.48,55.67,26.918,0.68,0.106,932,30.185,10.73,53.95,57.165,50.735,0.241,0.23,0.252,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
Q16630:Q6B0B8,0.44595221363474474,0.878,Q16630,Q6B0B8,0.21,0.24,0.36,63.28,27.667,0.46,0.024,4,30.355,11.712,77.7,85.621,69.779,0.17,0.164,0.176,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
Q16543:Q9UKM9,0.5147456390505529,0.9,Q16543,Q9UKM9,0.25,0.272,0.36,69.02,25.951,0.48,0.301,3269,29.091,8.385,76.24,85.116,67.364,0.406,0.412,0.4,0.029,0,-1,non-interacting pairs,not found in same PDB complex,False
Q16181:Q4VXA5,0.02332993035663246,0.559,Q16181,Q4VXA5,0.14,0.194,0.41,63.24,25.038,0.37,0.0,0,29.761,12.0,47.783,38.376,57.19,0.159,0.159,0.159,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q16619:Q96JC1,0.10345433414995768,0.686,Q16619,Q96JC1,0.21,0.266,0.49,74.21,21.973,0.29,0.0,0,29.605,12.0,69.333,60.885,77.78,0.154,0.151,0.157,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
Q16637:Q16799,0.23297089131832674,0.778,Q16637,Q16799,0.18,0.19,0.23,48.34,30.197,0.57,0.0,0,31.147,12.0,84.841,82.783,86.898,0.201,0.183,0.218,0.013,0,-1,non-interacting pairs,not found in same PDB complex,False
Q16543:Q6UXD1,0.1711490474706298,0.73,Q16543,Q6UXD1,0.18,0.228,0.42,63.91,24.188,0.42,0.046,92,29.141,11.445,70.101,77.216,62.985,0.242,0.292,0.191,0.013,0,-1,non-interacting pairs,not found in same PDB complex,False
Q15907:Q9ULT0,0.09118467278322048,0.667,Q15907,Q9ULT0,0.15,0.228,0.54,68.99,21.233,0.27,0.0,0,30.355,12.0,75.0,65.883,84.117,0.113,0.109,0.117,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q15906:Q96F81,0.04309220798894431,0.636,Q15906,Q96F81,0.17,0.242,0.53,56.4,26.172,0.48,0.0,0,31.334,12.0,44.563,53.745,35.38,0.096,0.095,0.096,0.008,0,-1,non-interacting pairs,not found in same PDB complex,False
