ppi,pDockQ,PPV,prot1,prot2,ipTM,iptm_ptm,pTM,pLDDT,pAE,ranking_confidence,LIS,LIA,inter_pae,inter_pae_select,LIA_std,LIA_median,LIA_top5_avg,LIA_top10_avg,LIA_percentage,SLIRS,SLIRS_area,SLIRS_std,SLIRS_median,SLIRS_top5_avg,SLIRS_top10_avg,SLIRS_percentage,SC_LIS,SC_LIS_area,ICS_bin,ICS_log,mean_interface,compactness,total_interface_weight,LIP,PWID,ZIES,global_mean,global_std,interface_mean_z,ZCP,iplddt_mean,iplddt_chain_a,iplddt_chain_b,ipae_mean,ipae_chain_b,ipae_chain_a,pdockq2_mean,non_struct_label,str_label,nonstr_label_name,str_label_name,is_homo
A6NGN4:P62312,0.09975442024780419,0.667,A6NGN4,P62312,0.32,0.406,0.75,75.21,13.448,0.42,0.0,0,23.715,12.0,0.0,0.0,0.0,0.0,0.0,0.022,1646.238,0.046,0.002,0.476,0.465,2.153,0.0,0.0,0.0,0.0,0.021,0.0,1605.087,0.0,0.0,-1.115,0.019,0.127,-0.134,-0.134,66.676,58.249,75.104,0.193,0.178,0.209,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NHP3:Q99584,0.12354837797148864,0.706,A6NHP3,Q99584,0.2,0.238,0.39,58.34,25.745,0.51,0.0,0,28.922,12.0,0.0,0.0,0.0,0.0,0.0,0.002,125.267,0.006,0.0,0.093,0.091,0.159,0.0,0.0,0.0,0.0,0.001,0.0,114.347,0.0,0.0,-0.423,0.015,0.116,-0.128,-0.128,88.006,89.805,86.208,0.16,0.152,0.168,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NHJ4:Q86XR7,0.23134507217958414,0.778,A6NHJ4,Q86XR7,0.23,0.24,0.28,52.25,27.905,0.41,0.0,0,29.558,12.0,0.0,0.0,0.0,0.0,0.0,0.001,216.586,0.003,0.0,0.12,0.112,0.073,0.0,0.0,0.0,0.0,0.001,0.0,254.042,0.0,0.0,-0.279,0.01,0.091,-0.098,-0.098,61.731,57.55,65.913,0.173,0.161,0.186,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
A6ND01:Q8N6D5,0.16142903587005542,0.73,A6ND01,Q8N6D5,0.16,0.242,0.57,78.64,17.428,0.29,0.0,0,27.038,12.0,0.0,0.0,0.0,0.0,0.0,0.003,382.934,0.008,0.0,0.148,0.143,0.254,0.0,0.0,0.0,0.0,0.002,0.0,352.292,0.0,0.0,-0.842,0.02,0.133,-0.143,-0.143,64.508,48.44,80.575,0.149,0.162,0.135,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NGS2:Q96SW2,0.0317158791887061,0.636,A6NGS2,Q96SW2,0.13,0.222,0.59,66.93,19.744,0.33,0.0,0,29.411,12.0,0.0,0.0,0.0,0.0,0.0,0.0,41.012,0.001,0.0,0.019,0.017,0.036,0.0,0.0,0.0,0.0,0.0,0.0,49.184,0.0,0.0,-0.745,0.016,0.119,-0.134,-0.134,50.223,58.933,41.512,0.157,0.156,0.159,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
A6ND01:Q9Y484,0.1483838714322736,0.714,A6ND01,Q9Y484,0.15,0.234,0.57,78.85,18.604,0.26,0.0,0,29.782,12.0,0.0,0.0,0.0,0.0,0.0,0.0,29.427,0.0,0.0,0.004,0.003,0.016,0.0,0.0,0.0,0.0,0.0,0.0,28.464,0.0,0.0,-0.844,0.017,0.124,-0.136,-0.136,69.204,68.612,69.797,0.112,0.115,0.11,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NHJ4:Q86XR7,0.21470783056523307,0.759,A6NHJ4,Q86XR7,0.22,0.234,0.29,52.94,27.942,0.4,0.0,0,29.472,12.0,0.0,0.0,0.0,0.0,0.0,0.001,340.288,0.007,0.0,0.202,0.195,0.115,0.0,0.0,0.0,0.0,0.001,0.0,388.076,0.0,0.0,-0.278,0.01,0.091,-0.099,-0.099,60.287,59.347,61.227,0.162,0.153,0.172,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
A6ND01:Q99623,0.15395289919828156,0.714,A6ND01,Q99623,0.17,0.228,0.46,72.7,21.497,0.35,0.0,0,27.632,12.0,0.0,0.0,0.0,0.0,0.0,0.003,428.002,0.008,0.0,0.154,0.144,0.286,0.0,0.0,0.0,0.0,0.003,0.0,409.914,0.0,0.0,-0.59,0.018,0.126,-0.138,-0.138,76.436,69.047,83.825,0.189,0.17,0.207,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
A6ND91:Q9BTT0,0.3391751880096932,0.834,A6ND91,Q9BTT0,0.19,0.254,0.51,71.33,20.671,0.35,0.0,0,28.369,12.0,0.0,0.0,0.0,0.0,0.0,0.001,118.01,0.001,0.0,0.014,0.013,0.078,0.0,0.0,0.0,0.0,0.001,0.0,106.837,0.0,0.0,-0.697,0.018,0.126,-0.136,-0.136,86.513,89.859,83.167,0.139,0.151,0.126,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NDV4:Q13322,0.1605581266275826,0.73,A6NDV4,Q13322,0.18,0.218,0.37,64.24,25.229,0.34,0.0,0,30.209,12.0,0.0,0.0,0.0,0.0,0.0,0.0,88.608,0.0,0.0,0.042,0.038,0.016,0.0,0.0,0.0,0.0,0.0,0.0,100.472,0.0,0.0,-0.443,0.009,0.085,-0.102,-0.102,58.706,80.366,37.046,0.154,0.166,0.143,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NGJ6:Q15019,0.07394773016471733,0.667,A6NGJ6,Q15019,0.27,0.302,0.43,70.91,22.796,0.35,0.121,1934,29.852,10.547,0.108,0.158,0.493,0.476,0.597,0.007,2317.948,0.058,0.0,0.931,0.927,0.715,0.003,1017.901,1.0,0.004,0.008,0.546,2537.873,3.974,0.0,-0.557,0.012,0.1,-0.115,-0.115,62.622,64.844,60.399,0.328,0.298,0.357,0.016,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NDX5:P02760,0.10333707918876811,0.686,A6NDX5,P02760,0.16,0.178,0.25,61.76,29.014,0.29,0.0,0,31.016,12.0,0.0,0.0,0.0,0.0,0.0,0.0,41.563,0.0,0.0,0.013,0.012,0.008,0.0,0.0,0.0,0.0,0.0,0.0,47.589,0.0,0.0,-0.257,0.008,0.084,-0.096,-0.096,70.545,71.436,69.654,0.136,0.132,0.139,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NFI3:P39748,0.19020281109883458,0.74,A6NFI3,P39748,0.26,0.276,0.34,58.89,28.275,0.47,0.0,0,30.521,12.0,0.0,0.0,0.0,0.0,0.0,0.0,104.038,0.0,0.0,0.016,0.014,0.014,0.0,0.0,0.0,0.0,0.0,0.0,109.99,0.0,0.0,-0.295,0.006,0.072,-0.079,-0.079,77.193,80.062,74.325,0.136,0.133,0.14,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NDV4:O75792,0.03868337295155684,0.636,A6NDV4,O75792,0.11,0.166,0.39,73.83,22.657,0.25,0.0,0,30.697,12.0,0.0,0.0,0.0,0.0,0.0,0.0,26.034,0.0,0.0,0.001,0.001,0.009,0.0,0.0,0.0,0.0,0.0,0.0,26.837,0.0,0.0,-0.594,0.013,0.104,-0.123,-0.123,69.95,78.08,61.82,0.109,0.107,0.111,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
A6ND01:Q96HJ3,0.09216138091090526,0.667,A6ND01,Q96HJ3,0.42,0.414,0.39,62.87,25.931,0.7,0.253,1303,30.682,8.96,0.18,0.333,0.717,0.711,0.699,0.006,1131.317,0.061,0.0,0.987,0.986,0.607,0.003,487.768,1.0,0.006,0.007,0.793,1375.3,4.224,0.001,-0.428,0.013,0.109,-0.114,-0.114,63.588,80.921,46.254,0.607,0.553,0.661,0.071,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NCM1:Q16348,0.041566051343082,0.636,A6NCM1,Q16348,0.15,0.2,0.4,68.82,25.226,0.27,0.0,0,31.404,12.0,0.0,0.0,0.0,0.0,0.0,0.0,67.188,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,73.416,0.0,0.0,-0.448,0.006,0.072,-0.09,-0.09,61.863,73.688,50.039,0.102,0.102,0.102,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NI72:O75821,0.169583754168874,0.73,A6NI72,O75821,0.12,0.166,0.35,67.65,26.372,0.35,0.0,0,30.861,12.0,0.0,0.0,0.0,0.0,0.0,0.0,28.91,0.0,0.0,0.018,0.015,0.012,0.0,0.0,0.0,0.0,0.0,0.0,30.74,0.0,0.0,-0.391,0.012,0.1,-0.118,-0.118,68.998,66.731,71.265,0.157,0.174,0.14,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
A6H8M9:Q8IUQ4,0.32136094201362736,0.822,A6H8M9,Q8IUQ4,0.33,0.328,0.32,71.72,26.362,0.41,0.013,1,29.688,11.85,0.0,0.025,0.025,0.025,0.0,0.001,301.994,0.005,0.0,0.435,0.411,0.068,0.0,0.348,1.0,0.0,0.001,0.002,313.585,0.0,0.0,-0.375,0.009,0.085,-0.099,-0.099,68.428,57.543,79.313,0.199,0.182,0.216,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
A6ND01:Q8IUB3,0.15588222526962428,0.73,A6ND01,Q8IUB3,0.27,0.348,0.66,71.48,15.441,0.47,0.059,240,23.374,11.288,0.046,0.042,0.208,0.193,0.658,0.04,1452.219,0.087,0.003,0.721,0.704,3.979,0.003,122.873,1.0,0.004,0.041,0.095,1478.537,3.292,0.0,-0.842,0.03,0.162,-0.168,-0.168,65.701,72.337,59.066,0.287,0.302,0.271,0.014,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NGS2:P62070,0.02530468123521717,0.559,A6NGS2,P62070,0.08,0.164,0.5,65.81,21.15,0.35,0.0,0,29.283,12.0,0.0,0.0,0.0,0.0,0.0,0.0,23.263,0.001,0.0,0.016,0.015,0.044,0.0,0.0,0.0,0.0,0.0,0.0,25.835,0.0,0.0,-0.655,0.027,0.153,-0.175,-0.175,70.01,66.85,73.17,0.16,0.165,0.154,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NER3:P56181,0.05063597500562418,0.636,A6NER3,P56181,0.06,0.09,0.21,64.13,28.165,0.59,0.0,0,31.126,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.604,0.001,0.0,0.025,0.021,0.014,0.0,0.0,0.0,0.0,0.0,0.0,3.782,0.0,0.0,-0.315,0.024,0.144,-0.162,-0.162,84.044,72.072,96.015,0.161,0.141,0.182,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NER0:Q9BUE0,0.1977818995517938,0.759,A6NER0,Q9BUE0,0.25,0.286,0.43,55.82,24.572,0.43,0.0,0,28.715,12.0,0.0,0.0,0.0,0.0,0.0,0.001,148.267,0.003,0.0,0.25,0.224,0.065,0.0,0.0,0.0,0.0,0.001,0.0,178.44,0.0,0.0,-0.473,0.012,0.097,-0.114,-0.114,61.32,45.851,76.788,0.182,0.161,0.202,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
A6ND01:Q68DV7,0.1615206562019373,0.73,A6ND01,Q68DV7,0.44,0.414,0.31,54.5,28.427,0.7,0.046,62,30.679,11.448,0.038,0.033,0.132,0.115,0.016,0.002,607.335,0.016,0.0,0.496,0.486,0.155,0.0,22.547,1.0,0.0,0.002,0.045,782.759,2.13,0.0,-0.296,0.007,0.082,-0.086,-0.086,58.851,70.326,47.376,0.274,0.289,0.259,0.013,0,-1,non-interacting pairs,not found in same PDB complex,False
A6ND01:Q96IR7,0.1165918929217924,0.686,A6ND01,Q96IR7,0.16,0.248,0.6,79.97,17.157,0.28,0.0,0,27.893,12.0,0.0,0.0,0.0,0.0,0.0,0.001,184.803,0.004,0.0,0.166,0.146,0.1,0.0,0.0,0.0,0.0,0.001,0.0,168.402,0.0,0.0,-0.891,0.017,0.124,-0.136,-0.136,65.339,71.253,59.424,0.131,0.122,0.139,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
A6ND01:Q96HJ3,0.06858995124001324,0.636,A6ND01,Q96HJ3,0.45,0.438,0.39,62.52,26.051,0.76,0.268,1390,30.904,8.781,0.193,0.358,0.727,0.721,0.745,0.006,1200.883,0.063,0.0,0.987,0.987,0.644,0.003,522.244,1.0,0.006,0.008,0.802,1456.315,4.189,0.001,-0.427,0.013,0.109,-0.114,-0.114,65.202,81.009,49.394,0.647,0.587,0.707,0.09,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NEL2:P09471,0.10263465014881686,0.686,A6NEL2,P09471,0.18,0.202,0.29,52.33,28.798,0.46,0.0,0,30.59,12.0,0.0,0.0,0.0,0.0,0.0,0.0,78.682,0.0,0.0,0.016,0.015,0.014,0.0,0.0,0.0,0.0,0.0,0.0,93.771,0.0,0.0,-0.265,0.007,0.077,-0.088,-0.088,52.961,42.051,63.87,0.146,0.14,0.151,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NH52:P50552,0.1705629003964355,0.73,A6NH52,P50552,0.14,0.17,0.29,62.17,27.23,0.43,0.0,0,30.149,12.0,0.0,0.0,0.0,0.0,0.0,0.0,40.669,0.001,0.0,0.02,0.019,0.025,0.0,0.0,0.0,0.0,0.0,0.0,44.077,0.0,0.0,-0.35,0.013,0.107,-0.122,-0.122,72.438,53.505,91.372,0.147,0.152,0.142,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
A6ND01:Q13002,0.08104941502704015,0.667,A6ND01,Q13002,0.15,0.218,0.49,76.2,22.687,0.27,0.0,0,30.579,12.0,0.0,0.0,0.0,0.0,0.0,0.0,54.165,0.0,0.0,0.002,0.002,0.012,0.0,0.0,0.0,0.0,0.0,0.0,54.865,0.0,0.0,-0.541,0.009,0.087,-0.097,-0.097,78.697,71.019,86.375,0.113,0.106,0.121,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NCQ9:Q9Y248,0.018258893561979524,0.559,A6NCQ9,Q9Y248,0.07,0.122,0.33,58.43,25.063,0.33,0.0,0,30.625,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.231,0.0,0.0,0.001,0.001,0.009,0.0,0.0,0.0,0.0,0.0,0.0,8.575,0.0,0.0,-0.481,0.021,0.128,-0.164,-0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NIV6:P20226,0.3275870853011712,0.834,A6NIV6,P20226,0.17,0.25,0.57,73.81,21.103,0.36,0.0,0,29.896,12.0,0.0,0.0,0.0,0.0,0.0,0.001,560.541,0.011,0.0,0.293,0.283,0.148,0.0,0.0,0.0,0.0,0.002,0.0,668.009,0.0,0.0,-0.718,0.011,0.101,-0.105,-0.105,61.099,82.964,39.234,0.18,0.167,0.193,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NIZ1:P06702,0.1028945166026338,0.686,A6NIZ1,P06702,0.11,0.188,0.5,72.64,18.282,0.24,0.0,0,27.553,12.0,0.0,0.0,0.0,0.0,0.0,0.001,27.01,0.001,0.0,0.014,0.012,0.064,0.0,0.0,0.0,0.0,0.001,0.0,29.119,0.0,0.0,-0.818,0.033,0.162,-0.196,-0.196,68.538,61.761,75.315,0.152,0.15,0.154,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NIV6:Q9NX24,0.10094742105952384,0.686,A6NIV6,Q9NX24,0.16,0.262,0.67,80.31,16.973,0.31,0.0,0,29.893,12.0,0.0,0.0,0.0,0.0,0.0,0.001,93.748,0.004,0.0,0.108,0.102,0.055,0.0,0.0,0.0,0.0,0.001,0.0,107.78,0.0,0.0,-1.0,0.015,0.115,-0.123,-0.123,62.324,94.201,30.447,0.195,0.201,0.19,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NMA1:Q9Y262,0.12580653143608014,0.706,A6NMA1,Q9Y262,0.3,0.368,0.64,71.44,18.576,0.48,0.152,827,29.266,10.174,0.102,0.133,0.465,0.454,0.661,0.007,825.238,0.059,0.0,0.942,0.938,0.659,0.003,425.346,1.0,0.005,0.007,0.639,902.767,4.212,0.0,-0.805,0.014,0.112,-0.116,-0.116,64.525,56.566,72.485,0.356,0.336,0.376,0.018,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NKQ9:P27348,0.17242529445379562,0.73,A6NKQ9,P27348,0.28,0.338,0.57,70.86,19.371,0.46,0.161,1519,27.749,10.066,0.127,0.217,0.472,0.462,1.658,0.016,1477.297,0.092,0.0,0.931,0.926,1.612,0.007,632.262,1.0,0.013,0.018,0.683,1686.622,4.202,0.001,-0.703,0.023,0.14,-0.149,-0.149,66.891,50.542,83.24,0.319,0.352,0.286,0.019,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NLU5:Q15369,0.1492728157353801,0.714,A6NLU5,Q15369,0.27,0.29,0.37,58.57,24.727,0.51,0.0,0,27.329,12.0,0.0,0.0,0.0,0.0,0.0,0.01,630.109,0.028,0.0,0.44,0.413,0.987,0.0,0.0,0.0,0.0,0.01,0.0,612.339,0.0,0.0,-0.416,0.021,0.133,-0.145,-0.145,82.887,82.727,83.047,0.311,0.305,0.317,0.021,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NK06:P63000,0.224892994821678,0.778,A6NK06,P63000,0.16,0.266,0.69,85.38,15.593,0.29,0.0,0,28.969,12.0,0.0,0.0,0.0,0.0,0.0,0.0,54.813,0.0,0.0,0.003,0.002,0.03,0.0,0.0,0.0,0.0,0.0,0.0,48.642,0.0,0.0,-1.048,0.017,0.124,-0.133,-0.133,91.913,92.342,91.485,0.122,0.119,0.125,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NKQ9:P27348,0.09211239730387671,0.667,A6NKQ9,P27348,0.39,0.426,0.57,70.58,19.585,0.54,0.173,1746,27.908,9.918,0.115,0.242,0.487,0.471,1.905,0.02,1851.791,0.102,0.0,0.932,0.928,2.021,0.009,780.096,1.0,0.015,0.023,0.633,2110.382,4.455,0.002,-0.69,0.023,0.14,-0.15,-0.15,69.713,49.52,89.906,0.456,0.47,0.442,0.037,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NM11:P09038,0.22720367897848026,0.778,A6NM11,P09038,0.23,0.252,0.34,43.61,29.977,0.61,0.0,0,31.031,12.0,0.0,0.0,0.0,0.0,0.0,0.0,122.155,0.0,0.0,0.009,0.008,0.012,0.0,0.0,0.0,0.0,0.0,0.0,133.223,0.0,0.0,-0.215,0.003,0.055,-0.059,-0.059,63.146,78.251,48.041,0.116,0.117,0.115,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NJ64:P29372,0.12766292877469146,0.706,A6NJ64,P29372,0.27,0.294,0.39,54.02,26.963,0.57,0.0,0,30.016,12.0,0.0,0.0,0.0,0.0,0.0,0.003,663.281,0.019,0.0,0.424,0.403,0.28,0.0,0.0,0.0,0.0,0.003,0.0,695.704,0.0,0.0,-0.355,0.011,0.101,-0.109,-0.109,74.566,57.627,91.504,0.226,0.21,0.242,0.013,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NIK2:Q96J02,0.3250226776960902,0.822,A6NIK2,Q96J02,0.35,0.364,0.42,68.61,25.039,0.47,0.0,0,29.405,12.0,0.0,0.0,0.0,0.0,0.0,0.002,845.497,0.006,0.0,0.218,0.18,0.16,0.0,0.0,0.0,0.0,0.001,0.0,786.568,0.0,0.0,-0.433,0.008,0.083,-0.09,-0.09,72.535,77.483,67.588,0.159,0.153,0.165,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NLC8:P07550,0.04286447731909608,0.636,A6NLC8,P07550,0.21,0.272,0.52,63.19,22.57,0.46,0.025,13,28.068,11.704,0.021,0.017,0.055,0.037,0.008,0.005,870.383,0.022,0.0,0.523,0.499,0.532,0.0,6.49,1.0,0.0,0.005,0.008,860.728,0.855,0.0,-0.565,0.015,0.11,-0.129,-0.129,71.949,77.819,66.079,0.311,0.29,0.333,0.018,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NK89:Q969H6,0.16141395512720727,0.73,A6NK89,Q969H6,0.12,0.156,0.3,62.2,27.071,0.33,0.0,0,30.398,12.0,0.0,0.0,0.0,0.0,0.0,0.0,18.716,0.0,0.0,0.003,0.003,0.011,0.0,0.0,0.0,0.0,0.0,0.0,20.736,0.0,0.0,-0.355,0.014,0.104,-0.129,-0.129,73.771,71.162,76.379,0.13,0.128,0.132,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NJZ7:O75015,0.30488311139726415,0.812,A6NJZ7,O75015,0.38,0.354,0.25,58.23,30.151,0.57,0.0,0,31.002,12.0,0.0,0.0,0.0,0.0,0.0,0.0,243.566,0.002,0.0,0.185,0.154,0.032,0.0,0.0,0.0,0.0,0.0,0.0,248.016,0.0,0.0,-0.186,0.004,0.061,-0.066,-0.066,80.954,76.981,84.926,0.143,0.131,0.154,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NLC8:P07550,0.04045869659592494,0.636,A6NLC8,P07550,0.18,0.248,0.52,62.33,22.819,0.43,0.0,0,28.681,12.0,0.0,0.0,0.0,0.0,0.0,0.002,387.182,0.01,0.0,0.283,0.268,0.237,0.0,0.0,0.0,0.0,0.002,0.0,388.059,0.0,0.0,-0.568,0.015,0.11,-0.129,-0.129,70.754,75.745,65.763,0.273,0.257,0.289,0.015,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NK97:O60271,0.09030063568249219,0.667,A6NK97,O60271,0.17,0.21,0.37,60.36,27.579,0.36,0.0,0,31.08,12.0,0.0,0.0,0.0,0.0,0.0,0.0,97.7,0.0,0.0,0.001,0.001,0.007,0.0,0.0,0.0,0.0,0.0,0.0,114.042,0.0,0.0,-0.354,0.005,0.063,-0.083,-0.083,62.259,50.843,73.674,0.117,0.115,0.12,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NIZ1:P06734,0.0898414252680975,0.667,A6NIZ1,P06734,0.14,0.188,0.38,75.26,22.058,0.35,0.0,0,28.931,12.0,0.0,0.0,0.0,0.0,0.0,0.001,80.493,0.002,0.0,0.047,0.044,0.068,0.0,0.0,0.0,0.0,0.001,0.0,75.207,0.0,0.0,-0.592,0.019,0.13,-0.141,-0.141,69.134,57.377,80.891,0.134,0.136,0.132,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NLU0:O95402,0.36395797063771346,0.843,A6NLU0,O95402,0.63,0.576,0.36,54.88,27.559,0.81,0.242,5572,29.562,9.1,0.159,0.183,0.725,0.705,1.618,0.016,5412.909,0.102,0.0,1.084,1.082,1.572,0.01,3442.139,1.0,0.012,0.016,0.757,5581.639,4.638,0.002,-0.279,0.009,0.087,-0.091,-0.091,72.102,83.995,60.208,0.285,0.337,0.234,0.015,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NLP5:P61218,0.08814618620323957,0.667,A6NLP5,P61218,0.14,0.212,0.5,67.34,19.181,0.32,0.0,0,25.892,12.0,0.0,0.0,0.0,0.0,0.0,0.005,227.933,0.015,0.001,0.196,0.186,0.475,0.0,0.0,0.0,0.0,0.005,0.0,241.694,0.0,0.0,-0.655,0.032,0.163,-0.176,-0.176,56.842,60.153,53.532,0.173,0.16,0.186,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
A6NIY4:P78552,0.11431970245581963,0.686,A6NIY4,P78552,0.3,0.334,0.47,60.21,24.573,0.56,0.055,199,27.935,11.336,0.051,0.05,0.248,0.211,0.058,0.014,4836.946,0.048,0.0,0.918,0.898,1.409,0.0,166.353,1.0,0.0,0.013,0.026,4431.15,1.564,0.0,-0.433,0.01,0.095,-0.103,-0.103,73.599,84.316,62.882,0.284,0.296,0.272,0.016,0,-1,non-interacting pairs,not found in same PDB complex,False
O60603:Q8WW12,0.1098195497957995,0.686,O60603,Q8WW12,0.15,0.234,0.57,72.04,21.487,0.33,0.0,0,30.965,12.0,0.0,0.0,0.0,0.0,0.0,0.0,32.884,0.001,0.0,0.032,0.029,0.012,0.0,0.0,0.0,0.0,0.0,0.0,42.315,0.0,0.0,-0.696,0.01,0.092,-0.102,-0.102,57.021,68.73,45.312,0.159,0.175,0.143,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
O60575:P32780,0.1799835482154432,0.74,O60575,P32780,0.63,0.594,0.45,69.52,21.855,0.76,0.446,10484,25.555,6.648,0.172,0.483,0.822,0.812,11.123,0.12,11325.046,0.325,0.0,1.191,1.191,12.015,0.088,8331.438,1.0,0.1,0.108,0.934,10141.751,4.084,0.025,-0.199,0.014,0.108,-0.119,-0.119,87.942,83.838,92.047,0.828,0.858,0.797,0.4,0,-1,non-interacting pairs,not found in same PDB complex,False
O60671:P59910,0.1673082572572534,0.73,O60671,P59910,0.35,0.378,0.49,77.44,21.157,0.4,0.057,188,28.546,11.313,0.046,0.05,0.215,0.187,0.105,0.006,1017.067,0.036,0.0,0.783,0.741,0.571,0.001,90.527,1.0,0.001,0.006,0.097,1140.503,2.084,0.0,-0.648,0.017,0.12,-0.134,-0.134,64.499,81.117,47.881,0.202,0.198,0.205,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
O60637:Q13564,0.07607359891107192,0.667,O60637,Q13564,0.15,0.248,0.64,81.25,17.333,0.26,0.0,0,29.474,12.0,0.0,0.0,0.0,0.0,0.0,0.0,60.769,0.0,0.0,0.005,0.005,0.022,0.0,0.0,0.0,0.0,0.0,0.0,60.866,0.0,0.0,-0.974,0.013,0.108,-0.123,-0.123,68.811,44.944,92.678,0.133,0.136,0.131,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
O60671:P31942,0.3899788675896921,0.86,O60671,P31942,0.51,0.504,0.48,70.68,23.363,0.64,0.201,1773,28.875,9.593,0.133,0.267,0.578,0.562,0.909,0.01,1857.422,0.072,0.0,0.948,0.943,0.952,0.004,794.289,1.0,0.007,0.011,0.674,2082.415,4.315,0.001,-0.521,0.014,0.113,-0.122,-0.122,73.488,91.442,55.535,0.267,0.315,0.219,0.014,0,-1,non-interacting pairs,not found in same PDB complex,False
O60431:P62166,0.10996922555845373,0.686,O60431,P62166,0.27,0.33,0.57,71.14,17.753,0.36,0.03,378,25.496,11.637,0.038,0.058,0.158,0.153,0.28,0.007,942.04,0.036,0.001,0.541,0.536,0.698,0.001,117.425,1.0,0.002,0.009,0.183,1217.643,2.299,0.0,-0.787,0.019,0.124,-0.139,-0.139,46.46,35.839,57.081,0.235,0.244,0.227,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
O60404:Q9H0U6,0.0219642558430385,0.559,O60404,Q9H0U6,0.08,0.17,0.53,72.18,20.182,0.24,0.0,0,30.659,12.0,0.0,0.0,0.0,0.0,0.0,0.0,11.471,0.0,0.0,0.001,0.001,0.01,0.0,0.0,0.0,0.0,0.0,0.0,11.82,0.0,0.0,-0.807,0.019,0.127,-0.152,-0.152,64.08,74.31,53.85,0.105,0.102,0.107,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
O60603:Q8WWL2,0.24194059626354658,0.778,O60603,Q8WWL2,0.18,0.236,0.46,65.92,26.054,0.34,0.0,0,30.507,12.0,0.0,0.0,0.0,0.0,0.0,0.0,134.716,0.0,0.0,0.005,0.004,0.012,0.0,0.0,0.0,0.0,0.0,0.0,144.608,0.0,0.0,-0.43,0.007,0.072,-0.091,-0.091,74.37,78.58,70.16,0.12,0.12,0.12,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
